datetime,GISP2,EPICA Dome C CO2
-658514-12-29 18:48:54,,188.43
-657462-08-23 17:48:55,,185.68
-657344-09-21 12:59:15,,187.38
-656814-06-11 15:19:42,,184.1
-655772-07-17 12:49:00,,190.88
-655704-05-01 07:15:52,,189.23
-655231-06-14 16:36:09,,192.93
-654183-11-22 05:20:38,,200.35
-653574-03-11 01:15:08,,200.0
-652489-11-22 12:10:39,,194.82
-651780-04-16 01:56:39,,192.87
-650759-08-02 22:31:37,,186.79
-650154-04-12 05:51:04,,187.27
-648997-06-09 21:45:25,,193.44
-648398-01-28 11:54:51,,189.25
-647241-06-09 04:58:57,,196.17
-646662-02-11 13:31:00,,193.48
-645305-09-07 09:57:35,,191.85
-644427-08-01 12:59:28,,189.89
-643201-11-19 01:11:31,,195.82
-642351-09-13 04:12:02,,195.31
-640907-11-17 15:41:16,,191.56
-640125-12-06 07:33:55,,191.38
-638422-04-12 08:56:08,,190.18
-637468-04-04 03:00:09,,188.85
-635764-02-27 07:22:57,,195.33
-634572-12-18 20:30:49,,194.0
-633059-06-29 15:18:13,,194.86
-632931-05-20 11:05:56,,195.95
-632128-12-25 02:14:29,,193.1
-630407-07-31 19:41:41,,196.5
-629576-03-14 07:05:54,,200.46
-627916-06-01 16:46:36,,200.78
-627820-09-01 06:15:21,,205.27
-627190-11-24 20:26:18,,199.52
-625880-06-01 19:34:40,,205.76
-625019-01-31 19:39:18,,215.71
-624097-01-07 13:25:22,,228.51
-623448-08-05 14:04:57,,235.02
-622547-07-25 20:24:52,,237.93
-621105-07-25 02:25:47,,239.19
-621001-10-13 15:26:12,,243.89
-619701-01-23 12:39:13,,243.53
-618334-10-05 06:46:48,,245.89
-617004-10-04 09:45:54,,248.29
-615660-12-09 15:58:31,,252.64
-614407-11-28 04:24:09,,252.73
-614349-05-22 07:19:14,,252.9
-613191-11-27 16:43:54,,252.75
-611993-09-15 19:16:07,,256.19
-610812-07-14 17:57:45,,258.14
-609651-11-16 02:57:57,,259.68
-609601-06-30 10:35:44,,257.82
-608479-01-02 05:16:33,,257.74
-607297-03-16 13:08:00,,259.22
-606029-03-15 15:43:36,,254.58
-604676-08-03 19:04:21,,248.48
-603353-05-08 13:34:23,,244.53
-601999-05-07 12:03:53,,239.14
-600651-09-30 02:00:17,,237.86
-599305-05-06 23:40:08,,232.45
-597865-11-12 16:16:53,,229.38
-597268-04-10 18:40:34,,225.97
-596380-09-28 12:20:54,,219.02
-595854-11-19 01:04:47,,216.27
-594841-05-13 11:11:37,,216.44
-594272-12-06 11:10:25,,221.22
-593486-01-08 11:07:18,,232.92
-592914-09-06 01:27:47,,237.98
-592097-09-28 20:26:44,,238.15
-591611-03-28 22:32:44,,233.16
-590836-12-20 06:29:10,,229.39
-590433-01-07 21:30:39,,225.68
-589069-01-07 06:07:48,,237.38
-588539-09-08 07:59:35,,243.56
