Age,d18O
1599.195,3.71
1600.308,3.73
1601.792,3.72
1602.831,3.7
1603.713,3.65
1605.2,3.8
1605.795,3.73
1607.281,3.74
1608.758,3.84
1610.244,3.82
1611.136,3.69
1612.028,3.94
1614.694,3.88
1617.667,3.765
1620.63,3.9
1623.297,3.885
1626.394,3.83
1628.982,4.23
1631.199,3.66
1632.754,4.19
1634.724,4.06
1637.089,4.33
1639.454,3.515
1644.183,4.25
1650.539,4.28
1659.994,4.14
1667.461,4.15
1669.312,4.17
1670.237,4.25
1670.976,4.2
1671.476,4.11
1672.225,4.06
1672.975,4.03
1674.225,3.8
1678.724,3.68
1689.365,3.64
1691.831,3.45
1692.905,3.75
1693.62,3.74
1694.694,3.85
1695.499,4
1697.51,4.05
1699.264,4.11
1702.58,4.02
1709.028,4
1719.684,3.61
1725.774,3.86
1727.749,3.51
1729.109,3.58
1730.016,3.9
1731.377,3.77
1735.005,3.62
1739.996,3.665
1744.01,3.91
1747.012,3.76
1748.577,4.12
1751.775,3.84
1753.679,3.71
1755.826,3.81
1758.404,3.79
1760.679,3.43
1763.203,3.5
1766.103,3.58
1768.586,3.73
1771.068,3.4
1773.963,3.44
1776.754,3.56
1779.601,3.88
1781.927,3.88
1783.737,4.14
1785.605,3.94
1789.485,3.91
1793.219,3.99
1797.105,3.94
1797.762,3.901
1799.178,3.901
1800.876,3.871
1802.009,3.691
1803.283,3.521
1804.7,3.601
1805.976,3.671
1807.394,3.591
1808.953,3.641
1810.37,3.531
1813.471,3.711
1815.016,3.601
1816.562,3.971
1817.955,4.001
1819.503,3.731
1821.05,3.581
1822.751,3.571
1824.142,3.541
1825.532,3.411
1827.232,3.221
1828.622,3.511
1830.014,3.531
1831.713,3.531
1833.228,3.661
1834.743,3.691
1835.803,3.841
1837.466,3.601
1838.072,3.731
1840.643,3.621
1842.46,3.611
1843.975,3.621
1847.005,3.561
1848.402,3.431
1849.658,3.381
1850.723,3.361
1851.733,3.511
1852.743,3.471
1853.803,3.471
1854.862,3.521
1855.922,3.541
1856.982,3.751
1858.042,3.951
1859.203,3.771
1860.528,4.071
1862.036,4.101
1863.624,4.071
1865.211,4.201
1866.799,4.311
1868.386,4.071
1869.973,3.901
1871.561,3.841
1873.148,3.861
1874.789,3.941
1876.556,3.851
1878.322,3.491
1880.261,3.441
1882.056,3.551
1883.848,3.651
1885.638,3.541
1887.426,3.651
1889.215,3.571
1891.01,3.521
1892.919,3.521
1896.736,3.601
1898.644,3.881
1900.965,3.951
1903.353,3.981
1905.742,3.851
1908.121,3.881
1910.441,3.641
1912.532,3.781
1915.087,3.811
1917.41,3.681
1919.518,3.581
1921.375,3.581
1923.284,3.491
1925.216,3.371
1927.149,3.441
1932.946,3.321
1934.71,3.341
1936.888,3.251
1939.467,3.331
1942.046,3.931
1944.625,4.011
1947.351,3.751
1950.102,3.741
1952.853,3.781
1955.711,3.791
1958.964,3.681
1962.047,3.831
1965.094,3.781
1968.14,3.771
1970.907,3.621
1973.043,3.591
1974.992,3.321
1976.941,3.331
1978.903,3.531
1980.858,3.361
1982.739,3.241
1984.62,3.611
1986.501,3.621
1988.385,3.561
1990.27,3.421
1992.154,3.561
1994.036,3.521
1995.917,3.611
1997.798,3.551
1999.723,3.581
2001.733,3.741
2003.139,3.711
2004.224,3.791
2005.597,3.851
2006.97,3.781
2008.137,3.511
2008.991,3.421
2010.987,3.671
2013.561,3.541
2016.861,3.341
2018.9,3.401
2021.167,3.181
2023.66,3.401
2026.155,3.531
2028.425,3.451
2030.24,3.611
2032.283,3.471
2034.778,3.831
2037.045,3.481
2039.312,3.961
2041.578,3.441
2044.263,3.571
2046.418,3.851
2048.57,3.771
2051.198,3.851
2053.593,4.091
2056.238,3.721
2059.228,3.821
2061.621,3.861
2064.345,3.771
2066.899,4.051
2069.806,4.281
2073.041,4.261
2077.243,3.771
2081.445,4.071
2084.771,4.071
2088.111,3.761
2090.45,3.651
2094.124,3.301
2096.129,3.271
2097.875,3.871
